17-1-1,,,,,
Year,Series,Unit,Value,,
2016,Total Federally Collected Revenuerevenue as a proportion of GDP,Percentage,5.53,,
2017,Total Federally Collected Revenuerevenue as a proportion of GDP,Percentage,6.55,,
2018,Total Federally Collected Revenuerevenue as a proportion of GDP,Percentage,7.51,,
2019,Total Federally Collected Revenuerevenue as a proportion of GDP,Percentage,6.81,,
2020,Total Federally Collected Revenuerevenue as a proportion of GDP,Percentage,5.76,,
2021,Total Federally Collected Revenuerevenue as a proportion of GDP,Percentage,6.03,,
2022,Total Federally Collected Revenuerevenue as a proportion of GDP,Percentage,6.96,,
2023,Total Federally Collected Revenuerevenue as a proportion of GDP,Percentage,8.37,,
,,,,,
17.1.2,,,,,
Year,Series,Type,Description,Unit,Value
2016,Tax-to-GDP Ratio (₦ Billion),Oil Taxes,Proportion of domestic budget funded by domestic taxes,Percentage,"1,243.69"
2016,Tax-to-GDP Ratio (₦ Billion),Non-Oil Taxes,Proportion of domestic budget funded by domestic taxes,Percentage,"7,156.77"
2016,Tax-to-GDP Ratio (₦ Billion),Total Tax Revenues,Proportion of domestic budget funded by domestic taxes,Percentage,"8,400.46"
2016,Tax-to-GDP Ratio (₦ Billion),Total Norminal GDP,Proportion of domestic budget funded by domestic taxes,Percentage,"101,489.49"
2017,Tax-to-GDP Ratio (₦ Billion),Oil Taxes,Proportion of domestic budget funded by domestic taxes,Percentage,"1,555.32"
2017,Tax-to-GDP Ratio (₦ Billion),Non-Oil Taxes,Proportion of domestic budget funded by domestic taxes,Percentage,"8,707.12"
2017,Tax-to-GDP Ratio (₦ Billion),Total Tax Revenues,Proportion of domestic budget funded by domestic taxes,Percentage,"10,262.44"
2017,Tax-to-GDP Ratio (₦ Billion),Total Norminal GDP,Proportion of domestic budget funded by domestic taxes,Percentage,"113,711.63"
2018,Tax-to-GDP Ratio (₦ Billion),Oil Taxes,Proportion of domestic budget funded by domestic taxes,Percentage,"2,543.57"
2018,Tax-to-GDP Ratio (₦ Billion),Non-Oil Taxes,Proportion of domestic budget funded by domestic taxes,Percentage,"10,695.90"
2018,Tax-to-GDP Ratio (₦ Billion),Total Tax Revenues,Proportion of domestic budget funded by domestic taxes,Percentage,"13,239.47"
2018,Tax-to-GDP Ratio (₦ Billion),Total Norminal GDP,Proportion of domestic budget funded by domestic taxes,Percentage,"127,736.83"
2019,Tax-to-GDP Ratio (₦ Billion),Oil Taxes,Proportion of domestic budget funded by domestic taxes,Percentage,"2,136.20"
2019,Tax-to-GDP Ratio (₦ Billion),Non-Oil Taxes,Proportion of domestic budget funded by domestic taxes,Percentage,"12,580.35"
2019,Tax-to-GDP Ratio (₦ Billion),Total Tax Revenues,Proportion of domestic budget funded by domestic taxes,Percentage,"14,716.55"
2019,Tax-to-GDP Ratio (₦ Billion),Total Norminal GDP,Proportion of domestic budget funded by domestic taxes,Percentage,"144,210.49"
2020,Tax-to-GDP Ratio (₦ Billion),Oil Taxes,Proportion of domestic budget funded by domestic taxes,Percentage,"1,651.04"
2020,Tax-to-GDP Ratio (₦ Billion),Non-Oil Taxes,Proportion of domestic budget funded by domestic taxes,Percentage,"11,144.51"
2020,Tax-to-GDP Ratio (₦ Billion),Total Tax Revenues,Proportion of domestic budget funded by domestic taxes,Percentage,"12,795.55"
2020,Tax-to-GDP Ratio (₦ Billion),Total Norminal GDP,Proportion of domestic budget funded by domestic taxes,Percentage,"152,324.07"
2021,Tax-to-GDP Ratio (₦ Billion),Oil Taxes,Proportion of domestic budget funded by domestic taxes,Percentage,"2,148.55"
2021,Tax-to-GDP Ratio (₦ Billion),Non-Oil Taxes,Proportion of domestic budget funded by domestic taxes,Percentage,"16,702.51"
2021,Tax-to-GDP Ratio (₦ Billion),Total Tax Revenues,Proportion of domestic budget funded by domestic taxes,Percentage,"18,851.06"
2021,Tax-to-GDP Ratio (₦ Billion),Total Norminal GDP,Proportion of domestic budget funded by domestic taxes,Percentage,"173,527.66"
